Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
Loading model...
Loading dataset...
The dataset has 18,864 samples!
The augumentation is OFF
Loading accelerator...
🚀 Accelerator launching on 1 GPU(s)
Starting training...
 Epochs:   0%|          | 0/10 [00:00<?, ?it/s]
 30%|███       | 5712/18864 [1:05:37<2:30:39,  1.45it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 37s][A
 30%|███       | 5713/18864 [1:05:37<2:30:35,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 37s][A
 30%|███       | 5713/18864 [1:05:38<2:30:35,  1.46it/s, Loss=0.027 (L1:0.09, MSE:0.03), Free VRAM=33.3GiB, Time=1h 5m 38s][A
 30%|███       | 5714/18864 [1:05:38<2:30:27,  1.46it/s, Loss=0.027 (L1:0.09, MSE:0.03), Free VRAM=33.3GiB, Time=1h 5m 38s][A
 30%|███       | 5714/18864 [1:05:39<2:30:27,  1.46it/s, Loss=0.016 (L1:0.07, MSE:0.02), Free VRAM=33.3GiB, Time=1h 5m 39s][A
 30%|███       | 5715/18864 [1:05:39<2:30:25,  1.46it/s, Loss=0.016 (L1:0.07, MSE:0.02), Free VRAM=33.3GiB, Time=1h 5m 39s][A
 30%|███       | 5715/18864 [1:05:40<2:30:25,  1.46it/s, Loss=0.031 (L1:0.12, MSE:0.03), Free VRAM=33.3GiB, Time=1h 5m 39s][A
 30%|███       | 5716/18864 [1:05:40<2:30:24,  1.46it/s, Loss=0.031 (L1:0.12, MSE:0.03), Free VRAM=33.3GiB, Time=1h 5m 39s][A
 30%|███       | 5716/18864 [1:05:40<2:30:24,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 40s][A
 30%|███       | 5717/18864 [1:05:40<2:30:21,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 40s][A
 30%|███       | 5717/18864 [1:05:41<2:30:21,  1.46it/s, Loss=0.005 (L1:0.05, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 41s][A
 30%|███       | 5718/18864 [1:05:41<2:30:22,  1.46it/s, Loss=0.005 (L1:0.05, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 41s][A
 30%|███       | 5718/18864 [1:05:42<2:30:22,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 41s][A
 30%|███       | 5719/18864 [1:05:42<2:30:20,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 41s][A
 30%|███       | 5719/18864 [1:05:42<2:30:20,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 42s][A
 30%|███       | 5720/18864 [1:05:42<2:30:21,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 42s][A
 30%|███       | 5720/18864 [1:05:43<2:30:21,  1.46it/s, Loss=0.234 (L1:0.37, MSE:0.23), Free VRAM=33.3GiB, Time=1h 5m 43s][A
 30%|███       | 5721/18864 [1:05:43<2:30:21,  1.46it/s, Loss=0.234 (L1:0.37, MSE:0.23), Free VRAM=33.3GiB, Time=1h 5m 43s][A
 30%|███       | 5721/18864 [1:05:44<2:30:21,  1.46it/s, Loss=0.000 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 44s][A
 30%|███       | 5722/18864 [1:05:44<2:30:24,  1.46it/s, Loss=0.000 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 44s][A
 30%|███       | 5722/18864 [1:05:44<2:30:24,  1.46it/s, Loss=0.121 (L1:0.25, MSE:0.12), Free VRAM=33.3GiB, Time=1h 5m 44s][A
 30%|███       | 5723/18864 [1:05:44<2:30:24,  1.46it/s, Loss=0.121 (L1:0.25, MSE:0.12), Free VRAM=33.3GiB, Time=1h 5m 44s][A
 30%|███       | 5723/18864 [1:05:45<2:30:24,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 45s][A
 30%|███       | 5724/18864 [1:05:45<2:30:24,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 45s][A
 30%|███       | 5724/18864 [1:05:46<2:30:24,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 46s][A
 30%|███       | 5725/18864 [1:05:46<2:30:22,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 46s][A
 30%|███       | 5725/18864 [1:05:46<2:30:22,  1.46it/s, Loss=0.462 (L1:0.50, MSE:0.46), Free VRAM=33.3GiB, Time=1h 5m 46s][A
 30%|███       | 5726/18864 [1:05:46<2:30:20,  1.46it/s, Loss=0.462 (L1:0.50, MSE:0.46), Free VRAM=33.3GiB, Time=1h 5m 46s][A
 30%|███       | 5726/18864 [1:05:47<2:30:20,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 47s][A
 30%|███       | 5727/18864 [1:05:47<2:30:20,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 47s][A
 30%|███       | 5727/18864 [1:05:48<2:30:20,  1.46it/s, Loss=0.035 (L1:0.14, MSE:0.03), Free VRAM=33.3GiB, Time=1h 5m 48s][A
 30%|███       | 5728/18864 [1:05:48<2:30:20,  1.46it/s, Loss=0.035 (L1:0.14, MSE:0.03), Free VRAM=33.3GiB, Time=1h 5m 48s][A
 30%|███       | 5728/18864 [1:05:48<2:30:20,  1.46it/s, Loss=0.199 (L1:0.33, MSE:0.20), Free VRAM=33.3GiB, Time=1h 5m 48s][A
 30%|███       | 5729/18864 [1:05:48<2:30:18,  1.46it/s, Loss=0.199 (L1:0.33, MSE:0.20), Free VRAM=33.3GiB, Time=1h 5m 48s][A
 30%|███       | 5729/18864 [1:05:49<2:30:18,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 49s][A
 30%|███       | 5730/18864 [1:05:49<2:30:17,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 49s][A
 30%|███       | 5730/18864 [1:05:50<2:30:17,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 50s][A
 30%|███       | 5731/18864 [1:05:50<2:30:17,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 50s][A
 30%|███       | 5731/18864 [1:05:51<2:30:17,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 50s][A
 30%|███       | 5732/18864 [1:05:51<2:30:18,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 50s][A
 30%|███       | 5732/18864 [1:05:51<2:30:18,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 51s][A
 30%|███       | 5733/18864 [1:05:51<2:30:19,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 51s][A
 30%|███       | 5733/18864 [1:05:52<2:30:19,  1.46it/s, Loss=0.002 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 52s][A
 30%|███       | 5734/18864 [1:05:52<2:30:18,  1.46it/s, Loss=0.002 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 52s][A
 30%|███       | 5734/18864 [1:05:53<2:30:18,  1.46it/s, Loss=0.137 (L1:0.28, MSE:0.14), Free VRAM=33.3GiB, Time=1h 5m 52s][A
 30%|███       | 5735/18864 [1:05:53<2:30:17,  1.46it/s, Loss=0.137 (L1:0.28, MSE:0.14), Free VRAM=33.3GiB, Time=1h 5m 52s][A
 30%|███       | 5735/18864 [1:05:53<2:30:17,  1.46it/s, Loss=0.009 (L1:0.06, MSE:0.01), Free VRAM=33.3GiB, Time=1h 5m 53s][A
 30%|███       | 5736/18864 [1:05:53<2:30:17,  1.46it/s, Loss=0.009 (L1:0.06, MSE:0.01), Free VRAM=33.3GiB, Time=1h 5m 53s][A
 30%|███       | 5736/18864 [1:05:54<2:30:17,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 54s][A
 30%|███       | 5737/18864 [1:05:54<2:30:16,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 54s][A
 30%|███       | 5737/18864 [1:05:55<2:30:16,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 55s][A
 30%|███       | 5738/18864 [1:05:55<2:30:16,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 55s][A
 30%|███       | 5738/18864 [1:05:55<2:30:16,  1.46it/s, Loss=0.093 (L1:0.19, MSE:0.09), Free VRAM=33.3GiB, Time=1h 5m 55s][A
 30%|███       | 5739/18864 [1:05:55<2:30:13,  1.46it/s, Loss=0.093 (L1:0.19, MSE:0.09), Free VRAM=33.3GiB, Time=1h 5m 55s][A
 30%|███       | 5739/18864 [1:05:56<2:30:13,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 56s][A
 30%|███       | 5740/18864 [1:05:56<2:30:11,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 56s][A
 30%|███       | 5740/18864 [1:05:57<2:30:11,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 57s][A
 30%|███       | 5741/18864 [1:05:57<2:30:07,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 57s][A
 30%|███       | 5741/18864 [1:05:57<2:30:07,  1.46it/s, Loss=0.011 (L1:0.08, MSE:0.01), Free VRAM=33.3GiB, Time=1h 5m 57s][A
 30%|███       | 5742/18864 [1:05:57<2:30:09,  1.46it/s, Loss=0.011 (L1:0.08, MSE:0.01), Free VRAM=33.3GiB, Time=1h 5m 57s][A
 30%|███       | 5742/18864 [1:05:58<2:30:09,  1.46it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 58s][A
 30%|███       | 5743/18864 [1:05:58<2:30:08,  1.46it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 58s][A
 30%|███       | 5743/18864 [1:05:59<2:30:08,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 59s][A
 30%|███       | 5744/18864 [1:05:59<2:30:12,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 5m 59s][A
 30%|███       | 5744/18864 [1:05:59<2:30:12,  1.46it/s, Loss=0.197 (L1:0.31, MSE:0.20), Free VRAM=33.3GiB, Time=1h 5m 59s][A
 30%|███       | 5745/18864 [1:05:59<2:30:11,  1.46it/s, Loss=0.197 (L1:0.31, MSE:0.20), Free VRAM=33.3GiB, Time=1h 5m 59s][A
 30%|███       | 5745/18864 [1:06:00<2:30:11,  1.46it/s, Loss=0.007 (L1:0.07, MSE:0.01), Free VRAM=33.3GiB, Time=1h 6m 0s] [A
 30%|███       | 5746/18864 [1:06:00<2:30:09,  1.46it/s, Loss=0.007 (L1:0.07, MSE:0.01), Free VRAM=33.3GiB, Time=1h 6m 0s][A
 30%|███       | 5746/18864 [1:06:01<2:30:09,  1.46it/s, Loss=0.060 (L1:0.19, MSE:0.06), Free VRAM=33.3GiB, Time=1h 6m 1s][A
 30%|███       | 5747/18864 [1:06:01<2:30:07,  1.46it/s, Loss=0.060 (L1:0.19, MSE:0.06), Free VRAM=33.3GiB, Time=1h 6m 1s][A
 30%|███       | 5747/18864 [1:06:02<2:30:07,  1.46it/s, Loss=0.006 (L1:0.06, MSE:0.01), Free VRAM=33.3GiB, Time=1h 6m 1s][A
 30%|███       | 5748/18864 [1:06:02<2:30:05,  1.46it/s, Loss=0.006 (L1:0.06, MSE:0.01), Free VRAM=33.3GiB, Time=1h 6m 1s][A
 30%|███       | 5748/18864 [1:06:02<2:30:05,  1.46it/s, Loss=0.045 (L1:0.16, MSE:0.05), Free VRAM=33.3GiB, Time=1h 6m 2s][A
 30%|███       | 5749/18864 [1:06:02<2:30:05,  1.46it/s, Loss=0.045 (L1:0.16, MSE:0.05), Free VRAM=33.3GiB, Time=1h 6m 2s][A
 30%|███       | 5749/18864 [1:06:03<2:30:05,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 3s][A
 30%|███       | 5750/18864 [1:06:03<2:30:05,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 3s][A
 30%|███       | 5750/18864 [1:06:04<2:30:05,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 3s][A
 30%|███       | 5751/18864 [1:06:04<2:31:55,  1.44it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 3s][A
 30%|███       | 5751/18864 [1:06:04<2:31:55,  1.44it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 4s][A
 30%|███       | 5752/18864 [1:06:04<2:31:21,  1.44it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 4s][A
 30%|███       | 5752/18864 [1:06:05<2:31:21,  1.44it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 5s][A
 30%|███       | 5753/18864 [1:06:05<2:30:57,  1.45it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 5s][A
 30%|███       | 5753/18864 [1:06:06<2:30:57,  1.45it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 6s][A
 31%|███       | 5754/18864 [1:06:06<2:30:40,  1.45it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 6s][A
 31%|███       | 5754/18864 [1:06:06<2:30:40,  1.45it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 6s][A
 31%|███       | 5755/18864 [1:06:06<2:30:25,  1.45it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 6s][A
 31%|███       | 5755/18864 [1:06:07<2:30:25,  1.45it/s, Loss=0.063 (L1:0.18, MSE:0.06), Free VRAM=33.3GiB, Time=1h 6m 7s][A
 31%|███       | 5756/18864 [1:06:07<2:30:16,  1.45it/s, Loss=0.063 (L1:0.18, MSE:0.06), Free VRAM=33.3GiB, Time=1h 6m 7s][A
 31%|███       | 5756/18864 [1:06:08<2:30:16,  1.45it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 8s][A
 31%|███       | 5757/18864 [1:06:08<2:30:11,  1.45it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 8s][A
 31%|███       | 5757/18864 [1:06:08<2:30:11,  1.45it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 8s][A
 31%|███       | 5758/18864 [1:06:08<2:30:07,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 8s][A
 31%|███       | 5758/18864 [1:06:09<2:30:07,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 9s][A
 31%|███       | 5759/18864 [1:06:09<2:30:03,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 9s][A
 31%|███       | 5759/18864 [1:06:10<2:30:03,  1.46it/s, Loss=0.315 (L1:0.41, MSE:0.31), Free VRAM=33.3GiB, Time=1h 6m 10s][A
 31%|███       | 5760/18864 [1:06:10<2:30:00,  1.46it/s, Loss=0.315 (L1:0.41, MSE:0.31), Free VRAM=33.3GiB, Time=1h 6m 10s][A
 31%|███       | 5760/18864 [1:06:10<2:30:00,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 10s][A
 31%|███       | 5761/18864 [1:06:10<2:29:56,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 10s][A
 31%|███       | 5761/18864 [1:06:11<2:29:56,  1.46it/s, Loss=0.038 (L1:0.14, MSE:0.04), Free VRAM=33.3GiB, Time=1h 6m 11s][A
 31%|███       | 5762/18864 [1:06:11<2:29:55,  1.46it/s, Loss=0.038 (L1:0.14, MSE:0.04), Free VRAM=33.3GiB, Time=1h 6m 11s][A
 31%|███       | 5762/18864 [1:06:12<2:29:55,  1.46it/s, Loss=0.054 (L1:0.14, MSE:0.05), Free VRAM=33.3GiB, Time=1h 6m 12s][A
 31%|███       | 5763/18864 [1:06:12<2:29:54,  1.46it/s, Loss=0.054 (L1:0.14, MSE:0.05), Free VRAM=33.3GiB, Time=1h 6m 12s][A
 31%|███       | 5763/18864 [1:06:13<2:29:54,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 12s][A
 31%|███       | 5764/18864 [1:06:13<2:29:58,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 12s][A
 31%|███       | 5764/18864 [1:06:13<2:29:58,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 13s][A
 31%|███       | 5765/18864 [1:06:13<2:29:57,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 13s][A
 31%|███       | 5765/18864 [1:06:14<2:29:57,  1.46it/s, Loss=0.006 (L1:0.05, MSE:0.01), Free VRAM=33.3GiB, Time=1h 6m 14s][A
 31%|███       | 5766/18864 [1:06:14<2:29:55,  1.46it/s, Loss=0.006 (L1:0.05, MSE:0.01), Free VRAM=33.3GiB, Time=1h 6m 14s][A
 31%|███       | 5766/18864 [1:06:15<2:29:55,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 14s][A
 31%|███       | 5767/18864 [1:06:15<2:29:55,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 14s][A
 31%|███       | 5767/18864 [1:06:15<2:29:55,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 15s][A
 31%|███       | 5768/18864 [1:06:15<2:29:52,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 15s][A
 31%|███       | 5768/18864 [1:06:16<2:29:52,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 16s][A
 31%|███       | 5769/18864 [1:06:16<2:29:47,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 16s][A
 31%|███       | 5769/18864 [1:06:17<2:29:47,  1.46it/s, Loss=0.014 (L1:0.08, MSE:0.01), Free VRAM=33.3GiB, Time=1h 6m 17s][A
 31%|███       | 5770/18864 [1:06:17<2:29:45,  1.46it/s, Loss=0.014 (L1:0.08, MSE:0.01), Free VRAM=33.3GiB, Time=1h 6m 17s][A
 31%|███       | 5770/18864 [1:06:17<2:29:45,  1.46it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 17s][A
 31%|███       | 5771/18864 [1:06:17<2:29:45,  1.46it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 17s][A
 31%|███       | 5771/18864 [1:06:18<2:29:45,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 18s][A
 31%|███       | 5772/18864 [1:06:18<2:29:42,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 18s][A
 31%|███       | 5772/18864 [1:06:19<2:29:42,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 19s][A
 31%|███       | 5773/18864 [1:06:19<2:29:43,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 19s][A
 31%|███       | 5773/18864 [1:06:19<2:29:43,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 19s][A
 31%|███       | 5774/18864 [1:06:19<2:29:41,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 19s][A
 31%|███       | 5774/18864 [1:06:20<2:29:41,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 20s][A
 31%|███       | 5775/18864 [1:06:20<2:29:44,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 20s][A
 31%|███       | 5775/18864 [1:06:21<2:29:44,  1.46it/s, Loss=0.373 (L1:0.43, MSE:0.37), Free VRAM=33.3GiB, Time=1h 6m 21s][A
 31%|███       | 5776/18864 [1:06:21<2:29:47,  1.46it/s, Loss=0.373 (L1:0.43, MSE:0.37), Free VRAM=33.3GiB, Time=1h 6m 21s][A
 31%|███       | 5776/18864 [1:06:21<2:29:47,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 21s][A
 31%|███       | 5777/18864 [1:06:21<2:29:47,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 21s][A
 31%|███       | 5777/18864 [1:06:22<2:29:47,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 22s][A
 31%|███       | 5778/18864 [1:06:22<2:29:49,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 22s][A
 31%|███       | 5778/18864 [1:06:23<2:29:49,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 23s][A
 31%|███       | 5779/18864 [1:06:23<2:29:46,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 23s][A
 31%|███       | 5779/18864 [1:06:24<2:29:46,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 23s][A
 31%|███       | 5780/18864 [1:06:24<2:29:45,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 23s][A
 31%|███       | 5780/18864 [1:06:24<2:29:45,  1.46it/s, Loss=0.029 (L1:0.12, MSE:0.03), Free VRAM=33.3GiB, Time=1h 6m 24s][A
 31%|███       | 5781/18864 [1:06:24<2:29:41,  1.46it/s, Loss=0.029 (L1:0.12, MSE:0.03), Free VRAM=33.3GiB, Time=1h 6m 24s][A
 31%|███       | 5781/18864 [1:06:25<2:29:41,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 25s][A
 31%|███       | 5782/18864 [1:06:25<2:29:41,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 25s][A
 31%|███       | 5782/18864 [1:06:26<2:29:41,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 25s][A
 31%|███       | 5783/18864 [1:06:26<2:29:40,  1.46it/s, Loss=0.002 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 25s][A
 31%|███       | 5783/18864 [1:06:26<2:29:40,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 26s][A
 31%|███       | 5784/18864 [1:06:26<2:29:37,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 26s][A
 31%|███       | 5784/18864 [1:06:27<2:29:37,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 27s][A
 31%|███       | 5785/18864 [1:06:27<2:29:35,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 27s][A
 31%|███       | 5785/18864 [1:06:28<2:29:35,  1.46it/s, Loss=0.050 (L1:0.13, MSE:0.05), Free VRAM=33.3GiB, Time=1h 6m 27s][A
 31%|███       | 5786/18864 [1:06:28<2:29:35,  1.46it/s, Loss=0.050 (L1:0.13, MSE:0.05), Free VRAM=33.3GiB, Time=1h 6m 27s][A
 31%|███       | 5786/18864 [1:06:28<2:29:35,  1.46it/s, Loss=0.101 (L1:0.19, MSE:0.10), Free VRAM=33.3GiB, Time=1h 6m 28s][A
 31%|███       | 5787/18864 [1:06:28<2:29:34,  1.46it/s, Loss=0.101 (L1:0.19, MSE:0.10), Free VRAM=33.3GiB, Time=1h 6m 28s][A
 31%|███       | 5787/18864 [1:06:29<2:29:34,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 29s][A
 31%|███       | 5788/18864 [1:06:29<2:29:36,  1.46it/s, Loss=0.001 (L1:0.02, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 29s][A
 31%|███       | 5788/18864 [1:06:30<2:29:36,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 30s][A
 31%|███       | 5789/18864 [1:06:30<2:29:36,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 30s][A
 31%|███       | 5789/18864 [1:06:30<2:29:36,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 30s][A
 31%|███       | 5790/18864 [1:06:30<2:29:37,  1.46it/s, Loss=0.001 (L1:0.03, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 30s][A
 31%|███       | 5790/18864 [1:06:31<2:29:37,  1.46it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 31s][A
 31%|███       | 5791/18864 [1:06:31<2:29:38,  1.46it/s, Loss=0.003 (L1:0.04, MSE:0.00), Free VRAM=33.3GiB, Time=1h 6m 31s][A
